character,betweenness,rank
Harry Potter,0.15021103392296772,1
Ronald Weasley,0.0953738507471326,2
Albus Dumbledore,0.0730775912531361,3
Hermione Granger,0.04857063366522283,4
Horace Slughorn,0.041675208709015976,5
Ginevra Weasley,0.03884329540459117,6
Rubeus Hagrid,0.03814168771330733,7
Tom Riddle,0.03692053023017134,8
Godric Gryffindor,0.036361965580747994,9
Percy Weasley,0.0326280395120239,10
Vernon Dursley,0.031580932641456436,11
Ludovic Bagman,0.029654166665028247,12
Severus Snape,0.029361072310397918,13
George Weasley,0.02780453695120761,14
Emeric the Evil,0.026446842012898646,15
Neville Longbottom,0.02494726704744619,16
Molly Weasley,0.024590216896985123,17
Remus Lupin,0.02437324895918481,18
Arthur Weasley,0.023555997809852694,19
Minerva McGonagall,0.023309987712633488,20
Father Christmas,0.023169448245429543,21
Draco Malfoy,0.022643822894772375,22
Dolores Umbridge,0.022427789722723884,23
Mungo Bonham,0.021346016241844318,24
William Weasley,0.0213117899558222,25
Fred Weasley,0.021225211632613008,26
Gilderoy Lockhart,0.020673728303002962,27
Godelot,0.020355102208598326,28
Merlin,0.02028753578668863,29
Prime Minister,0.020103238266489694,30
Argus Filch,0.01911144985070982,31
Bathilda Bagshot,0.017860343054728507,32
Kreacher,0.016842034683488785,33
Dean Thomas,0.016656189827685297,34
Sorting Hat,0.016532470751343377,35
Luna Lovegood,0.016266105806231758,36
Nymphadora Tonks,0.01547466679395143,37
Cho Chang,0.015350334011072251,38
Barry Ryan,0.014796460310400371,39
Antonin Dolohov,0.014718574129422313,40
Hedwig,0.014049529905871725,41
Petunia Dursley,0.013748889479235629,42
Rita Skeeter,0.013628741048519084,43
Cornelius Fudge,0.013490931311754495,44
Sirius Black,0.01326978678194245,45
Helga Hufflepuff,0.012749138566078583,46
Alastor Moody,0.012718457692044162,47
Rowena Ravenclaw,0.012689240595940123,48
Lavender Brown,0.01164529011972955,49
Andrew Kirke,0.011605508405089306,50
Augustus Rookwood,0.011498497125596521,51
Filius Flitwick,0.011133541867637937,52
Vincent Crabbe,0.011095420021423223,53
Kingsley Shacklebolt,0.011075085877967477,54
Miranda Goshawk,0.010922796294515437,55
Parvati Patil,0.010591460264963173,56
Viktor Krum,0.010585172718809358,57
Corban Yaxley,0.0105687711575009,58
Aberforth Dumbledore,0.010519686026705798,59
Dirk Cresswell,0.010096742522534053,60
Terry Boot,0.00983008326289323,61
Justin Finch-Fletchley,0.009787707652560814,62
Seamus Finnigan,0.009613888318906753,63
Travers,0.00953467365683427,64
Gregory Goyle,0.009468162128190832,65
Ignotus Peverell,0.009423231208911175,66
Salazar Slytherin,0.009290930621881827,67
Lily J. Potter,0.00911024863222611,68
Charles Weasley,0.0090556376408965,69
Rosmerta,0.008777352865305175,70
Avery (Marauder-era),0.008690103589735125,71
Elphias Doge,0.00853074753168752,72
Colin Creevey,0.008489086231413246,73
Emeric Switch,0.008318496626055574,74
Dudley Dursley,0.008307413452364455,75
Kevin Whitby,0.008191956027694097,76
John Dawlish,0.008087381419728486,77
Bartemius Crouch Senior,0.008086665188545176,78
Oliver Wood,0.007972601660509428,79
Bartemius Crouch Junior,0.007915332570443443,80
Lucius Malfoy,0.00788786000201757,81
Ritchie Coote,0.007854996085826398,82
Rufus Scrimgeour,0.00784828009147531,83
Martha (disambiguation),0.007605759080578241,84
Lee Jordan,0.007589499368505769,85
Aidan Lynch,0.007398651105719362,86
Rupert Brookstanton,0.0073486768385104305,87
Angelina Johnson,0.007251738476215264,88
Katie Bell,0.0071334680680041505,89
Pansy Parkinson,0.006960399008907584,90
Will,0.006838336253251946,91
Phineas Nigellus Black,0.006625404261524666,92
Cormac McLaggen,0.0065676738005151,93
Broderick Bode,0.006267664406746015,94
Lev Zograf,0.006245892056711211,95
Fat Lady,0.006204121193555865,96
Loxias,0.006146169159487695,97
Poppy Pomfrey,0.006049270347771777,98
Narcissa Malfoy,0.005951438546951435,99
Nicolas Flamel,0.005941317170164618,100
Sturgis Podmore,0.005929604324024689,101
Miles Bletchley,0.005886459439506298,102
Malcolm,0.005884762085120348,103
Buckbeak,0.00582768573253165,104
Bellatrix Lestrange,0.005769715553433326,105
Egbert the Egregious,0.00563001460652958,106
Rabastan Lestrange,0.005530951525463943,107
Ptolemy,0.0054841946395378675,108
Ernest Macmillan,0.005467939198860091,109
Marcus Flint,0.005439217772185941,110
Zacharias Smith,0.005373958808487718,111
Fleur Delacour,0.005150645998361982,112
Quirinus Quirrell,0.005146352707677889,113
Mundungus Fletcher,0.004986449719669211,114
Theodore Nott,0.004906542765425315,115
Frank Bryce,0.004603820320164604,116
Gibbon,0.0045785647247664095,117
Evan Rosier,0.004511263751286431,118
Dobby,0.0045063028325267665,119
Ogg,0.004476955577562622,120
Alicia Spinnet,0.004454188241438009,121
Gringotts Head Goblin,0.00441896349889736,122
Peeves,0.0043420296660284,123
Sybill Trelawney,0.004322949172908252,124
Moran,0.004322339240912852,125
Magorian,0.00418431486515742,126
Pomona Sprout,0.004161203338602427,127
Phyllida Spore,0.0041047865687155365,128
Orla Quirke,0.0041047865687155365,129
Barnabas Deverill,0.004082765181544316,130
Marvolo Gaunt,0.003962057996096023,131
Tom Riddle Senior,0.0039034446393258386,132
Mrs Norris,0.0038718733537780894,133
Pius Thicknesse,0.0038427383333683954,134
Augustus Pye,0.003828810743344964,135
Muriel,0.0038166173490559235,136
Cuthbert Binns,0.003786826892339244,137
Dennis Creevey,0.0037819224190485798,138
Fenrir Greyback,0.003757946353790362,139
Cassandra Trelawney,0.003750982795344064,140
Pigwidgeon,0.0037018318016031086,141
Rosalind Bungs,0.003590790871297491,142
Celestina Warbeck,0.00354603204010919,143
Cedric Diggory,0.0034968341998252808,144
Bertha Jorkins,0.003474910170286184,145
Rolanda Hooch,0.0034457444169765125,146
Mark Evans,0.0034272149686635617,147
Snowy,0.003308111491516026,148
Eddie Carmichael,0.003288713116728206,149
Wendelin the Weird,0.0032480946865481464,150
Ted,0.0032185222676298815,151
Marlene McKinnon,0.003209079180825351,152
Igor Karkaroff,0.0032010550803210722,153
James Potter I,0.0031636375864214565,154
Gawain Robards,0.0031632680763339824,155
Ali Bashir,0.0031246278598372704,156
Olympe Maxime,0.0031202980013147227,157
Perkins,0.0030361749948489953,158
Walden Macnair,0.003034375099616897,159
Dedalus Diggle,0.003031436047420785,160
Blaise Zabini,0.002985043265001705,161
Hope Howell,0.0029473583993585286,162
Crookshanks,0.002929339205600315,163
Hassan Mostafa,0.0029127989807235105,164
Padma Patil,0.002903880313750078,165
Rose Zeller,0.002842279574515997,166
Bradley,0.0027832758752588823,167
Mulciber (Marauder-era),0.0026879969465860762,168
Piers Polkiss,0.0026534274245484843,169
Garrick Ollivander,0.0026529428437585523,170
Fawkes,0.0026194554715918894,171
Mafalda Hopkirk,0.0025604338975240937,172
Humphrey Belcher,0.002557654709851908,173
Gideon Prewett,0.0025344232043483144,174
Aurora Sinistra,0.002499332033639361,175
Jimmy Peakes,0.0024391720334720904,176
Fat Friar,0.002239843509280471,177
Archie Aymslowe,0.0022306096240916817,178
Lucian Bole,0.0021932842649150667,179
Cadogan,0.0021872411012212106,180
Ciceron Harkiss,0.002052393284357768,181
Hugo Granger-Weasley,0.00204003493556828,182
Cassius Warrington,0.0019273779216297192,183
Damocles Belby,0.0018258558904544367,184
Xenophilius Lovegood,0.0017928149563882314,185
Tiberius Ogden,0.0017693504392302377,186
Anthony Goldstein,0.0017553703934244918,187
Gregory the Smarmy,0.0017274816479919332,188
Adrian Pucey,0.0017245885201098174,189
Adalbert Waffling,0.001717797691594502,190
Apollyon Pringle,0.0017059882545383777,191
Amos Diggory,0.0016953707972571703,192
Kendra Dumbledore,0.00168489545747839,193
Gellert Grindelwald,0.0016395801549119182,194
Daphne Greengrass,0.001631717067655371,195
Karkus,0.001612801706913445,196
Mr Paws,0.0015849334062914713,197
Tufty,0.0015849334062914713,198
Griselda Marchbanks,0.001571073935036758,199
Enid Smeek,0.0015677128847852075,200
Griphook,0.0015600860982626725,201
Hokey,0.0015587159342271718,202
Fang,0.0015142859271044314,203
Amycus Carrow,0.0014778352416352416,204
Millicent Bagnold,0.0014337078543797913,205
Ladislaw Zamojski,0.0014212896528328124,206
Alecto Carrow,0.0014009291159338079,207
Ariana Dumbledore,0.0013942214139984815,208
Susan Bones,0.001366006670209081,209
Thorfinn Rowle,0.0013645367527707437,210
