char_a,char_b,common_neighbors,ever_meet,first_meet_book
Neville Longbottom,Percy Weasley,26,True,7.0
Neville Longbottom,Tom Riddle,23,True,5.0
Filius Flitwick,Godric Gryffindor,22,False,
Gilderoy Lockhart,Remus Lupin,22,True,4.0
George Weasley,Sirius Black,21,True,4.0
Fred Weasley,Rowena Ravenclaw,21,False,
Remus Lupin,Salazar Slytherin,21,False,
Gilderoy Lockhart,Sirius Black,20,False,
Albus Dumbledore,Marcus Flint,20,False,
Ginevra Weasley,Rubeus Hagrid,20,True,5.0
Argus Filch,Oliver Wood,20,False,
Fred Weasley,Sirius Black,20,True,4.0
Fred Weasley,Remus Lupin,19,True,4.0
Father Christmas,Neville Longbottom,19,True,7.0
Dean Thomas,Minerva McGonagall,19,True,4.0
Percy Weasley,Poppy Pomfrey,19,True,4.0
Gilderoy Lockhart,Oliver Wood,19,False,
Neville Longbottom,Poppy Pomfrey,19,True,5.0
Helga Hufflepuff,Hermione Granger,19,True,4.0
Oliver Wood,Remus Lupin,19,True,7.0
Cornelius Fudge,Draco Malfoy,19,True,4.0
Gregory Goyle,Percy Weasley,19,False,
Father Christmas,Percy Weasley,19,True,5.0
Albus Dumbledore,Dean Thomas,18,True,5.0
Poppy Pomfrey,Tom Riddle,18,True,4.0
George Weasley,Lucius Malfoy,18,True,5.0
George Weasley,Neville Longbottom,18,True,4.0
Filius Flitwick,George Weasley,18,True,5.0
Filius Flitwick,Fred Weasley,18,True,5.0
Colin Creevey,Rubeus Hagrid,18,True,4.0
Percy Weasley,Vincent Crabbe,18,False,
Ginevra Weasley,Severus Snape,18,True,6.0
Argus Filch,Tom Riddle,18,False,
Father Christmas,Sirius Black,18,True,4.0
Marcus Flint,Neville Longbottom,17,False,
George Weasley,Remus Lupin,17,True,4.0
Argus Filch,Ginevra Weasley,17,True,5.0
Colin Creevey,Salazar Slytherin,17,False,
Colin Creevey,Severus Snape,17,True,4.0
Cornelius Fudge,Gilderoy Lockhart,17,False,
Lucius Malfoy,Minerva McGonagall,17,True,6.0
Severus Snape,Sybill Trelawney,17,True,5.0
Minerva McGonagall,Molly Weasley,17,True,4.0
Oliver Wood,Tom Riddle,16,False,
Oliver Wood,Seamus Finnigan,16,False,
Godric Gryffindor,Lucius Malfoy,16,False,
Father Christmas,Gilderoy Lockhart,16,True,5.0
Godric Gryffindor,Molly Weasley,16,True,4.0
Poppy Pomfrey,Vincent Crabbe,16,False,
Argus Filch,Seamus Finnigan,16,False,
Helga Hufflepuff,Rubeus Hagrid,16,True,4.0
Argus Filch,Father Christmas,16,True,6.0
Gregory Goyle,Poppy Pomfrey,16,False,
Poppy Pomfrey,Salazar Slytherin,16,False,
Justin Finch-Fletchley,Minerva McGonagall,16,False,
Lee Jordan,Rolanda Hooch,16,False,
Sirius Black,Vincent Crabbe,16,False,
Godric Gryffindor,Seamus Finnigan,16,True,4.0
Dean Thomas,Godric Gryffindor,16,True,4.0
Gregory Goyle,Sirius Black,16,False,
Lucius Malfoy,Neville Longbottom,16,False,
Draco Malfoy,Helga Hufflepuff,16,True,5.0
Filius Flitwick,Peter Pettigrew,16,False,
Gregory Goyle,Tom Riddle,16,True,5.0
Marcus Flint,Percy Weasley,16,False,
Helga Hufflepuff,Severus Snape,15,True,4.0
Molly Weasley,Salazar Slytherin,15,False,
Father Christmas,Marcus Flint,15,False,
Argus Filch,Justin Finch-Fletchley,15,False,
Filius Flitwick,Poppy Pomfrey,15,False,
