book,character,global_degree,community_with_harry,community_size_with_harry,within_degree_with_harry,community_without_harry,community_size_without_harry,within_degree_without_harry
3,Ronald Weasley,3340,0,26,2466,0,16,1283
3,Hermione Granger,3149,0,26,2477,0,16,1313
3,Remus Lupin,1199,1,21,539,1,21,539
3,Sirius Black,1273,1,21,550,1,21,550
3,Severus Snape,842,1,21,358,1,21,358
3,Rubeus Hagrid,757,0,26,643,0,16,390
3,Draco Malfoy,579,2,5,94,2,5,94
3,Godric Gryffindor,697,3,33,355,3,33,355
3,Oliver Wood,387,3,33,246,3,33,246
3,Cornelius Fudge,343,1,21,171,1,21,171
3,Peter Pettigrew,560,1,21,344,1,21,344
3,Sybill Trelawney,310,0,26,231,0,16,110
3,Albus Dumbledore,485,1,21,219,1,21,219
3,Buckbeak,294,0,26,238,0,16,123
3,Vernon Dursley,148,0,26,144,4,5,48
3,Minerva McGonagall,305,3,33,114,3,33,114
3,Crookshanks,192,0,26,175,0,16,98
3,Tom Riddle,206,1,21,107,1,21,107
3,Neville Longbottom,253,1,21,100,1,21,100
3,Gregory Goyle,197,2,5,115,2,5,115
3,Vincent Crabbe,199,2,5,113,2,5,113
3,Percy Weasley,249,3,33,87,3,33,87
3,Fred Weasley,242,3,33,148,3,33,148
3,George Weasley,204,3,33,131,3,33,131
3,Hedwig,92,0,26,84,0,16,27
3,Poppy Pomfrey,100,1,21,29,1,21,29
3,Molly Weasley,86,3,33,19,3,33,19
3,Prime Minister,83,1,21,53,1,21,53
3,Cho Chang,49,3,33,14,3,33,14
3,Salazar Slytherin,190,3,33,105,3,33,105
3,Ginevra Weasley,80,3,33,21,3,33,21
3,James Potter I,140,1,21,127,1,21,127
3,Lily J. Potter,86,1,21,79,1,21,79
3,Lavender Brown,92,4,5,37,5,6,37
3,Parvati Patil,75,4,5,34,5,6,34
3,Penelope Clearwater,53,3,33,43,3,33,43
3,Petunia Dursley,70,0,26,70,4,5,44
3,Errol,62,0,26,59,0,16,47
3,Dudley Dursley,64,0,26,64,4,5,38
3,Rowena Ravenclaw,109,3,33,75,3,33,75
3,Cedric Diggory,41,3,33,17,3,33,17
3,Father Christmas,69,0,26,53,0,16,28
3,Rolanda Hooch,70,3,33,45,3,33,45
