char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Cho Chang,Minerva McGonagall,40,False,False,False,True
Cho Chang,Rubeus Hagrid,39,False,False,False,True
Cedric Diggory,Severus Snape,37,True,False,False,False
Cornelius Fudge,Ginevra Weasley,36,False,False,False,True
Cedric Diggory,Neville Longbottom,36,True,False,False,False
Cedric Diggory,Percy Weasley,34,True,False,True,False
Dolores Umbridge,Percy Weasley,33,False,False,True,False
Filius Flitwick,Godric Gryffindor,32,False,True,False,False
Sirius Black,Vincent Crabbe,32,True,False,False,False
Gilderoy Lockhart,Sirius Black,32,True,False,True,False
Dolores Umbridge,Vincent Crabbe,32,False,False,False,True
Helga Hufflepuff,Neville Longbottom,32,False,True,False,False
Fred Weasley,Rowena Ravenclaw,32,False,True,False,False
Bartemius Crouch Senior,Draco Malfoy,32,True,False,False,False
Fred Weasley,Seamus Finnigan,31,False,False,False,True
Minerva McGonagall,Viktor Krum,31,False,False,False,True
Argus Filch,Tom Riddle,31,False,False,False,True
Cornelius Fudge,Godric Gryffindor,31,False,True,False,False
George Weasley,Seamus Finnigan,30,False,False,False,True
Alastor Moody,Cho Chang,30,False,False,False,True
Alastor Moody,Gilderoy Lockhart,29,False,False,True,False
Cho Chang,Percy Weasley,29,False,False,True,False
Angelina Johnson,Neville Longbottom,29,False,False,False,True
Angelina Johnson,Severus Snape,29,False,False,False,True
Ginevra Weasley,Oliver Wood,29,False,False,True,False
Ginevra Weasley,Gregory Goyle,29,False,False,False,True
Alastor Moody,Salazar Slytherin,29,False,True,False,False
Ludovic Bagman,Poppy Pomfrey,28,False,False,False,True
Dolores Umbridge,Gregory Goyle,28,False,False,False,True
Severus Snape,Viktor Krum,28,False,False,False,True
Cedric Diggory,Father Christmas,27,True,True,False,False
Alastor Moody,Dean Thomas,27,False,False,False,True
Dolores Umbridge,Rowena Ravenclaw,27,False,True,False,False
Poppy Pomfrey,Salazar Slytherin,27,False,True,False,False
Dolores Umbridge,Oliver Wood,27,False,False,True,False
Fred Weasley,Rita Skeeter,27,False,False,False,True
Filius Flitwick,Poppy Pomfrey,27,False,False,False,True
Colin Creevey,Dolores Umbridge,26,False,False,False,True
Dobby,Salazar Slytherin,26,False,True,False,False
Fred Weasley,Prime Minister,26,False,False,False,True
Ludovic Bagman,Neville Longbottom,26,False,False,False,True
Godric Gryffindor,Ludovic Bagman,26,False,True,False,False
Poppy Pomfrey,Vincent Crabbe,26,False,False,False,True
George Weasley,Parvati Patil,26,False,False,False,True
Fleur Delacour,Sirius Black,26,True,False,False,False
